	STATION	DIVISION	Fixed Counts
31	161/YANKEE STAD	IND	337323.0
118	68ST-HUNTER CO	IRT	330167.0
356	NEWARK BM BW	PTH	327664.0
377	PAVONIA/NEWPORT	PTH	325921.0
365	NOSTRAND AV	IND	323282.0
221	CHAMBERS ST	IRT	322994.0
442	WORLD TRADE CTR	IND	321756.0
262	FLATBUSH AV-B.C	IRT	319831.0
285	GRAND-NEWTOWN	IND	317470.0
133	8 ST-NYU	BMT	309024.0
53	2 AV	IND	308102.0
113	61 ST WOODSIDE	IRT	304903.0
387	QUEENSBORO PLZ	IRT	303727.0
423	UTICA AV	IND	299878.0
409	STEINWAY ST	IND	297937.0
97	5 AV/59 ST	BMT	297284.0
225	CHURCH AV	BMT	296138.0
143	90 ST-ELMHURST	IRT	294382.0
246	DELANCEY/ESSEX	IND	293106.0
404	SOUTH FERRY	IRT	290082.0
260	EXCHANGE PLACE	PTH	286646.0
152	ASTOR PL	IRT	284219.0
131	79 ST	IRT	281693.0
382	PRINCE ST	BMT	279368.0
190	BLEECKER ST	IRT	277670.0
428	VERNON-JACKSON	IRT	273925.0
114	63 DR-REGO PARK	IND	273290.0
291	HALSEY ST	BMT	272547.0
372	PARKCHESTER	IRT	271738.0
169	BAY PKWY	BMT	270323.0
136	82 ST-JACKSON H	IRT	270211.0
417	TIMES SQ-42 ST	BMT	267883.0
296	HOUSTON ST	IRT	262311.0
83	36 ST	BMT	259970.0
17	135 ST	IRT	251982.0
18	137 ST CITY COL	IRT	249227.0
35	168 ST	IND	248924.0
254	EAST BROADWAY	IND	248089.0
311	JFK JAMAICA CT1	IND	247698.0
111	59 ST COLUMBUS	IRT	243481.0
400	SHEEPSHEAD BAY	BMT	242858.0
153	ASTORIA BLVD	BMT	240746.0
106	57 ST	IND	238376.0
154	ASTORIA DITMARS	BMT	238093.0
334	MARCY AV	BMT	234539.0
69	28 ST	BMT	233289.0
216	CATHEDRAL PKWY	IRT	232775.0
92	46 ST BLISS ST	IRT	231598.0
42	175 ST	IND	231575.0
138	86 ST	BMT	231215.0
408	ST. GEORGE	SRT	231164.0
36	168 ST	IRT	226772.0
271	FRANKLIN AV	IRT	226480.0
405	SPRING ST	IND	224029.0
197	BRIGHTON BEACH	BMT	223876.0
98	5 AVE	IRT	222675.0
12	116 ST-COLUMBIA	IRT	222216.0
258	ELMHURST AV	IND	220040.0
200	BROADWAY	BMT	219679.0
155	ATL AV-BARCLAY	BMT	214831.0
32	161/YANKEE STAD	IRT	213801.0
406	SPRING ST	IRT	213053.0
237	COURT SQ	IND	209898.0
25	145 ST	IRT	209454.0
290	GUN HILL RD	IRT	207348.0
443	YORK ST	IND	206599.0
213	CANARSIE-ROCKAW	BMT	206456.0
345	MYRTLE AV	BMT	205524.0
295	HIGH ST	IND	205522.0
266	FORDHAM RD	IND	204045.0
26	149/GRAND CONC	IRT	202996.0
9	111 ST	IRT	202592.0
332	LORIMER ST	BMT	202312.0
214	CARROLL ST	IND	200507.0
233	CLINTON-WASH AV	IND	200136.0
386	QUEENS PLAZA	IND	198798.0
379	PELHAM PKWY	IRT	198668.0
385	PROSPECT PARK	BMT	198652.0
223	CHRISTOPHER ST	IRT	198196.0
186	BERGEN ST	IND	197552.0
299	HOYT-SCHER	IND	193637.0
79	34 ST-HUDSON YD	IRT	193335.0
27	14TH STREET	PTH	192970.0
6	110 ST	IRT	191114.0
57	21 ST-QNSBRIDGE	IND	191105.0
120	7 AV	BMT	190768.0
47	181 ST	IND	190366.0
325	LACKAWANNA	PTH	190291.0
267	FORDHAM RD	IRT	190022.0
361	NEWKIRK PLAZA	BMT	187724.0
390	RECTOR ST	IRT	184047.0
352	NEVINS ST	IRT	182883.0
303	INWOOD-207 ST	IND	182227.0
415	THIRTY ST	PTH	182054.0
164	AVENUE U	BMT	180262.0
281	GRAHAM AV	BMT	179867.0
30	157 ST	IRT	178968.0
301	HUNTS POINT AV	IRT	178492.0
219	CHAMBERS ST	BMT	178467.0
259	EUCLID AV	IND	177566.0
48	181 ST	IRT	177517.0
218	CENTRAL PK N110	IRT	173241.0
33	167 ST	IND	173047.0
87	40 ST LOWERY ST	IRT	172969.0
288	GREENPOINT AV	IND	172205.0
208	BURNSIDE AV	IRT	171873.0
336	METROPOLITAN AV	IND	169052.0
226	CHURCH AV	IND	168632.0
420	TREMONT AV	IND	166682.0
144	96 ST	IND	164622.0
245	DELANCEY/ESSEX	BMT	163624.0
202	BROADWAY JCT	IND	161298.0
348	NASSAU AV	IND	161276.0
421	TWENTY THIRD ST	PTH	159662.0
227	CHURCH AV	IRT	159517.0
44	18 AV	BMT	159381.0
95	4AV-9 ST	BMT	157908.0
185	BEDFORD-NOSTRAN	IND	157893.0
91	46 ST	IND	156725.0
64	231 ST	IRT	153728.0
76	33 ST-RAWSON ST	IRT	153628.0
402	SIMPSON ST	IRT	152996.0
263	FLUSHING AV	BMT	151196.0
320	KINGSBRIDGE RD	IRT	150698.0
34	167 ST	IRT	150094.0
310	JEFFERSON ST	BMT	149834.0
293	HARRISON	PTH	148618.0
46	18 ST	IRT	147366.0
54	20 AV	BMT	146796.0
39	170 ST	IRT	146465.0
340	MORGAN AV	BMT	145981.0
117	67 AV	IND	145812.0
363	NORWOOD 205 ST	IND	145364.0
337	METS-WILLETS PT	IRT	143685.0
10	116 ST	IND	143614.0
343	MOSHOLU PKWY	IRT	142044.0
397	ROOSEVELT ISLND	IND	139073.0
72	3 AV 138 ST	IRT	138778.0
319	KINGSBRIDGE RD	IND	135943.0
37	169 ST	IND	135074.0
369	OZONE PK LEFFRT	IND	133121.0
252	E 180 ST	IRT	133015.0
29	155 ST	IND	131578.0
