	STATION	DIVISION	DAILY COUNTS	DAILY EXITS	Division	Stop Name	Station ID	Complex ID	GTFS Stop ID	Line	Borough	Daytime Routes	Structure	GTFS Latitude	GTFS Longitude
127	ASTORIA DITMARS	BMT	238093.0	130452.0	BMT	Astoria - Ditmars Blvd	1.0	1.0	R01	Astoria	Q	N W	Elevated	40.775036	-73.91203399999999
128	MARCY AV	BMT	234539.0	180473.0	BMT	Marcy Av	101.0	101.0	M16	Jamaica	Bk	J M Z	Elevated	40.708359	-73.957757
129	28 ST	BMT	233289.0	252255.0	BMT	28 St	13.0	13.0	R18	Broadway - Brighton	M	R W	Subway	40.745494	-73.988691
130	CATHEDRAL PKWY	IRT	232775.0	118076.0	IRT	Cathedral Pkwy	308.0	308.0	118	Broadway - 7Av	M	1	Subway	40.803967	-73.966847
131	46 ST BLISS ST	IRT	231598.0	178382.0	IRT	46 St	458.0	458.0	714	Flushing	Q	7	Elevated	40.743132	-73.918435
132	175 ST	IND	231575.0	119159.0	IND	175 St	147.0	147.0	A07	8th Av - Fulton St	M	A	Subway	40.847390999999995	-73.939704
133	86 ST	BMT	231215.0	126122.0	BMT	86 St	38.0	38.0	R44	4th Av	Bk	R	Subway	40.622687	-74.028398
134	ST. GEORGE	SRT	231164.0	10.0	SIR	St George	501.0	501.0	S31	Staten Island	SI	SIR	Open Cut	40.643747999999995	-74.073643
135	168 ST	IRT	226772.0	230788.0	IRT	168 St - Washington Hts	302.0	605.0	112	Broadway - 7Av	M	1	Subway	40.840556	-73.94013299999999
136	FRANKLIN AV	IRT	226480.0	133322.0	IRT	Franklin Av	342.0	626.0	239	Eastern Pky	Bk	2 3 4 5	Subway	40.670682	-73.95813100000001
137	SPRING ST	IND	224029.0	45720.0	IND	Spring St	168.0	168.0	A33	8th Av - Fulton St	M	C E	Subway	40.726227	-74.003739
138	BRIGHTON BEACH	BMT	223876.0	151779.0	BMT	Brighton Beach	55.0	55.0	D40	Broadway - Brighton	Bk	B Q	Elevated	40.577621	-73.961376
139	5 AVE	IRT	222675.0	187009.0	IRT	5 Av	466.0	609.0	724	Flushing	M	7	Subway	40.753821	-73.98196300000001
140	116 ST-COLUMBIA	IRT	222216.0	117403.0	IRT	116 St - Columbia University	307.0	307.0	117	Broadway - 7Av	M	1	Subway	40.807722	-73.96410999999999
141	ELMHURST AV	IND	220040.0	52769.0	IND	Elmhurst Av	266.0	266.0	G13	Queens Blvd	Q	M R	Subway	40.742453999999995	-73.882017
